text,firm,0,1,group,size
The hub of your digital classroom that serves as the foundation for teaching and learning .,instructure,-1.173139167613252,-0.5013115866467039,27,250
The assessment tools and quality content educators need to accelerate learning forward .,instructure,-1.6074614005959456,-0.6049877331641038,25,250
Powerful analytical tools that   provide actionable insights   for   making impactful decisions .,instructure,0.38146922280259266,0.400213148581511,12,250
The data - driven support and communication solution that improves edtech adoption .,instructure,-0.7339290287760782,-0.2217933560634875,27,250
Improves student outcomes by building an equitable and effective ecosystem based on evidence .,instructure,-0.6985761922563933,-1.1984935621695012,2,250
"Modern tools that elevate the higher ed experience whether virtual , hybrid , or in - person .",instructure,-1.0128650248256905,-0.46727777315990376,27,250
Data - driven support and communication solution to maximize the use of campus technology .,instructure,-0.06961816015924055,0.08367999413902218,8,250
"We offer rollout plans , product training , content development , and more .",instructure,0.7862046649471308,-0.6030400441670879,7,250
"Articles , videos , stories , and news about our products , edtech , and education .",instructure,-0.3936914456066743,-1.4014588779564923,2,250
Modify and use online courses from educators and institutions worldwide .,instructure,-0.7430950302043977,-0.036053498163908314,11,250
But we ’re not only the makers of a leading learning management system,instructure,0.6261768566022899,-1.3444375420375814,21,250
"We 're an education technology company with a mission to elevate student success , amplify the power of teaching , and inspire everyone to learn together .",instructure,-0.500980251419626,-2.2353288031913165,22,250
"Lots of companies have "" values . "" But ours exist outside the company handbook — they're present in everything we do , from the way we treat our customers and coworkers to the way we build our products .",instructure,1.7794557580018566,-1.834625331519039,19,250
"We strive to be collaborative in our projects , transparent about our intentions , and curious about how things work and how to make them better",instructure,1.3553027241046784,-1.886068059186318,19,250
"We 're all about building meaningful relationships based on trust , respect , and mutual success , whether they 're peer - peer , teacher - student , manager - employee , or company - customer",instructure,0.959287953499733,-2.1246696942278485,4,250
"We aspire to offer an inclusive and welcoming culture , and we believe people deserve equal access to opportunities and resources",instructure,1.4141421568357728,-1.9981190634328176,19,250
"We 're all accountable for excellence in our work and our actions , and we stand behind our products and services",instructure,1.8461772117010518,-1.3913579274525232,13,250
Our software makes lifelong learning easier,instructure,0.15007007978957318,-0.3269383562302787,17,250
"We strive for clarity and ease of use across the board , from product design to communication to customer experience",instructure,1.4547294727709648,-1.0130783255589013,13,250
"
 learners from classroom to career with labor market information , skill acquisition , in - demand career data , and more .",anthology,-0.6649924346514011,-0.7271230483806198,9,250
"& 
 deeper , more personalized relationships with alumni and donors through enhanced fundraising , event management , and more .",anthology,0.6268491227403417,-1.1677386022332619,21,250
"& 
 Frictionlessly manage growth through our with practical tools and analytics for course registration , financial aid , advising , and more . 


 Student",anthology,-0.20207666908800775,0.13654900567478384,8,250
"helps you create powerful learning environments for all individuals . 


",anthology,-0.7842739428637785,-0.9118785880369865,9,250
